ref_month,dt,release,time_et,actual,consensus_median,surprise_sd,ff_futures_delta_bp,path_2y_bp,source_actual,status
2020-01,,CPICORE,08:30,0.26,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-01,2020-01-29,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2020-01,,NFP,08:30,,,,,,,needs_dt;needs_actual
2020-02,,CPI,08:30,0.05,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-02,,CPICORE,08:30,0.25,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-02,,NFP,08:30,,,,,,,needs_dt;needs_actual
2020-03,,CPI,08:30,-0.45,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-03,,CPICORE,08:30,-0.12,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-03,2020-03-03,FOMC,10:00,-50,,,,,hardcoded_record,dt_final
2020-03,2020-03-15,FOMC,17:00,-100,,,,,hardcoded_record,dt_final
2020-03,,NFP,08:30,,,,,,,needs_dt;needs_actual
2020-04,,CPI,08:30,-0.79,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-04,,CPICORE,08:30,-0.49,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-04,2020-04-29,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2020-04,,NFP,08:30,,,,,,,needs_dt;needs_actual
2020-05,,CPI,08:30,-0.09,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-05,,CPICORE,08:30,-0.13,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-05,,NFP,08:30,,,,,,,needs_dt;needs_actual
2020-06,,CPI,08:30,0.48,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-06,,CPICORE,08:30,0.16,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-06,2020-06-10,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2020-06,,NFP,08:30,,,,,,,needs_dt;needs_actual
2020-07,,CPI,08:30,0.51,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-07,,CPICORE,08:30,0.58,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-07,2020-07-29,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2020-07,,NFP,08:30,,,,,,,needs_dt;needs_actual
2020-08,,CPI,08:30,0.37,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-08,,CPICORE,08:30,0.39,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-08,,NFP,08:30,,,,,,,needs_dt;needs_actual
2020-09,,CPI,08:30,0.26,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-09,,CPICORE,08:30,0.19,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-09,2020-09-16,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2020-09,,NFP,08:30,,,,,,,needs_dt;needs_actual
2020-10,,CPI,08:30,0.12,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-10,,CPICORE,08:30,0.14,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-10,,NFP,08:30,,,,,,,needs_dt;needs_actual
2020-11,,CPI,08:30,0.23,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-11,,CPICORE,08:30,0.25,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-11,2020-11-05,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2020-11,,NFP,08:30,,,,,,,needs_dt;needs_actual
2020-12,,CPI,08:30,0.43,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-12,,CPICORE,08:30,0.13,,,,,bls_pkg_2.0.10_revised,needs_dt
2020-12,2020-12-16,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2020-12,,NFP,08:30,,,,,,,needs_dt;needs_actual
2021-01,,CPI,08:30,0.23,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-01,,CPICORE,08:30,0.03,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-01,2021-01-27,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2021-01,,NFP,08:30,,,,,,,needs_dt;needs_actual
2021-02,,CPI,08:30,0.36,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-02,,CPICORE,08:30,0.13,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-02,,NFP,08:30,,,,,,,needs_dt;needs_actual
2021-03,,CPI,08:30,0.48,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-03,,CPICORE,08:30,0.25,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-03,2021-03-17,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2021-03,,NFP,08:30,,,,,,,needs_dt;needs_actual
2021-04,,CPI,08:30,0.67,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-04,,CPICORE,08:30,0.8,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-04,2021-04-28,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2021-04,,NFP,08:30,,,,,,,needs_dt;needs_actual
2021-05,,CPI,08:30,0.67,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-05,,CPICORE,08:30,0.67,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-05,,NFP,08:30,,,,,,,needs_dt;needs_actual
2021-06,,CPI,08:30,0.86,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-06,,CPICORE,08:30,0.78,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-06,2021-06-16,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2021-06,,NFP,08:30,,,,,,,needs_dt;needs_actual
2021-07,,CPI,08:30,0.46,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-07,,CPICORE,08:30,0.37,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-07,2021-07-28,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2021-07,,NFP,08:30,,,,,,,needs_dt;needs_actual
2021-08,,CPI,08:30,0.29,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-08,,CPICORE,08:30,0.14,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-08,,NFP,08:30,,,,,,,needs_dt;needs_actual
2021-09,,CPI,08:30,0.44,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-09,,CPICORE,08:30,0.25,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-09,2021-09-22,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2021-09,,NFP,08:30,,,,,,,needs_dt;needs_actual
2021-10,,CPI,08:30,0.94,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-10,,CPICORE,08:30,0.69,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-10,,NFP,08:30,,,,,,,needs_dt;needs_actual
2021-11,,CPI,08:30,0.83,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-11,,CPICORE,08:30,0.63,,,,,bls_pkg_2.0.10_revised,needs_dt
2021-11,2021-11-03,FOMC,14:00,0,,,,,hardcoded_record,dt_final
